frequency,rows,positives,precision,recall,f1,average_precision,roc_auc,n_estimators,max_depth,min_samples_leaf,random_state,folds,shuffle,prediction_sha256
25S,482157,317,0.9685314685314685,0.8738170347003155,0.9187396351575456,0.9582443579156725,0.9998868035307347,200,4,6,1,5,False,6b2f807352fa5de96cc97986531b106adff1c4ed498b1baf7af6362a1aba3d4e
15S,584104,317,0.9713261648745519,0.8548895899053628,0.9093959731543624,0.9397280273302503,0.9997501897744465,200,4,6,1,5,False,a92d5de279f1b5d0e9ac873e1590b680150a9155908edb74c483132833c24a5e
5S,821307,317,0.960352422907489,0.6876971608832808,0.8014705882352942,0.8906336090522652,0.9993260963729141,200,4,6,1,5,False,acc16b02e9cbdc7fa50d10178c71c33aa4280c85b90e877a275651f22169fb8c
