frequency,rows,positives,precision,recall,f1,average_precision,roc_auc,n_estimators,max_depth,random_state,folds,shuffle,prediction_sha256
25S,482157,317,0.9657534246575342,0.889589905362776,0.9261083743842364,0.9643708695784525,0.9999041463558986,200,5,1,5,False,0e8a1fdb6becd874555bc5dd8b623118b7fe9f7f60f0fbcd0b2ef09391407ff3
15S,584104,317,0.9678571428571429,0.8548895899053628,0.9078726968174204,0.947172151184115,0.9998575789917847,200,5,1,5,False,f8da014030864816686c0b39b1077133ad843cf2dfb237a437cb1da0ee13b107
5S,821307,317,0.9433198380566802,0.7350157728706624,0.8262411347517731,0.902581300083189,0.9993614253438654,200,5,1,5,False,20ceaaac527c590defda2afd3612c85e9e40bc4aa617c8ed9e15d6aab572d769
