frequency,rows,positives,precision,recall,f1,average_precision,roc_auc,n_estimators,max_depth,min_samples_leaf,random_state,folds,shuffle,prediction_sha256
25S,482157,317,0.9657534246575342,0.889589905362776,0.9261083743842364,0.9643708695784525,0.9999041463558986,200,5,1,1,5,False,e46b08cfb9fbca0cc71adfa0c484758c9b8fe5c1e01d4f726773e4741d550971
15S,584104,317,0.9678571428571429,0.8548895899053628,0.9078726968174204,0.947172151184115,0.9998575789917847,200,5,1,1,5,False,415f4c9aeca48259cec2e3420914762ccd350bd32691fad8227e29c377bf3736
5S,821307,317,0.9433198380566802,0.7350157728706624,0.8262411347517731,0.902581300083189,0.9993614253438654,200,5,1,1,5,False,3be16cec917c5e9f89713daad11a7c934224f77cbf57a4d0304970ac7219cc1a
